voxel_vol_um3,green_microglia_threshold_used,red_VGluT2_threshold_used,blue_CTB_threshold_used,green_microglia_volume_um3,green_microglia_voxels,image_volume_um3,red_VGluT2_total_objects,red_VGluT2_total_volume_um3,red_VGluT2_engulfed_objects,red_VGluT2_engulfed_volume_um3,red_VGluT2_engulfment_pct,red_VGluT2_mean_object_volume_um3,red_VGluT2_density_per_1000um3,blue_CTB_total_volume_um3,blue_CTB_engulfed_objects,blue_CTB_engulfed_volume_um3,blue_CTB_engulfment_pct,blue_CTB_mean_object_volume_um3,dataset,group,replicate,path
0.00047099,79,63,118,779.0549389,1654079,40186.127,381,317.0008716,39,5.598660075,0.718647658,0.143555387,9.480883788,340.7778681,47,7.756737005,0.99565982,0.165036958,Bottom_left_SCN_example_1,A,Sample_1A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_1A\Bottom_left_SCN_example_1
0.000471159,101,111,149,393.76343,835734,18839.47315,214,177.302711,14,3.512488867,0.892030239,0.250892062,11.35912869,173.4429781,18,5.346238923,1.357728655,0.297013274,Bottom_left_SCN_example_2,A,Sample_1A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_1A\Bottom_left_SCN_example_2
0.001002256,58,97,163,1886.609816,1882363,92094.65587,769,895.8766456,46,14.41745413,0.764199041,0.313422916,8.350104495,870.1116478,60,22.19195477,1.176287464,0.369865913,Bottom_left_SCN_sample_1B_example_1,A,Sample_1A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_1A\Bottom_left_SCN_sample_1B_example_1
0.00135564,60,113,150,1217.385981,898016,55658.87144,432,529.5480439,24,8.384630444,0.688740512,0.349359602,7.761565926,534.6560937,35,25.28132145,2.076689057,0.72232347,Bottom_left_SCN_sample_1B_example_2,A,Sample_1A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_1A\Bottom_left_SCN_sample_1B_example_2
0.000470765,56,68,107,692.6810078,1471393,34434.36674,319,318.2190935,20,3.863101394,0.557702803,0.19315507,9.264000769,300.2961108,20,5.08191318,0.733658513,0.254095659,Bottom_middle_SCN_example_1,A,Sample_1A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_1A\Bottom_middle_SCN_example_1
0.000470717,54,66,144,994.4160945,2112556,71431.75286,740,672.9323647,23,2.948571501,0.29651285,0.128198761,10.35953859,646.1589212,81,14.19400144,1.427370446,0.175234586,Bottom_middle_SCN_example_2,A,Sample_1A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_1A\Bottom_middle_SCN_example_2
0.001356121,50,167,143,961.4300094,708956,53727.66218,552,524.281743,41,16.9867697,1.766823329,0.414311456,10.2740372,505.171288,32,8.502877695,0.884399032,0.265714928,bottom_right_example_1,A,Sample_2A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_2A\bottom_right_example_1
0.001356932,58,172,147,2197.557642,1619505,123077.184,1383,762.5182596,49,9.965306265,0.453471894,0.203373597,11.23685118,1172.828618,73,24.02176155,1.093111784,0.329065227,bottom_right_example_2,A,Sample_2A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_2A\bottom_right_example_2
0.001356706,36,163,166,1569.946061,1157175,82942.26208,983,783.3931468,59,13.23059519,0.842742023,0.224247376,11.85161792,782.0676452,45,16.77024069,1.068204896,0.372672015,top_left_example_1,A,Sample_2A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_2A\top_left_example_1
0.001358103,65,172,175,941.9164551,693553,45823.55181,607,431.0442575,19,3.302906654,0.350658133,0.173837192,13.24646336,422.9621862,28,3.918127343,0.415973977,0.139933119,top_left_example_2,A,Sample_2A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_2A\top_left_example_2
0.001355052,48,158,86,1053.684195,777597,57322.94631,909,548.7769982,68,10.5368826,1.000003858,0.154954156,15.85752406,552.6863226,43,18.43954456,1.750006752,0.428826618,top_right_example_1,A,Sample_2A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_2A\top_right_example_1
0.001357362,49,162,148,1205.611746,888202,55814.61074,899,537.5113257,45,7.765468663,0.644110236,0.17256597,16.10689366,539.4021311,61,35.25612359,2.92433478,0.577969239,top_right_example_2,A,Sample_2A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_2A\top_right_example_2
0.001356212,62,162,192,1127.327764,831233,62269.33408,557,606.802936,30,5.192933881,0.460641,0.173097796,8.945012955,600.038153,39,19.40060569,1.720937451,0.497451428,top_left_example_1,A,Sample_3A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_3A\top_left_example_1
0.00135564,50,176,174,1179.339958,869951,65778.66624,815,633.6530254,36,18.69426901,1.58514675,0.51928525,12.39003535,631.9964339,19,17.7643003,1.506291734,0.934963174,top_left_example_2,A,Sample_3A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_3A\top_left_example_2
0.00135521,67,176,185,1043.668818,770116,49409.88054,589,475.8805969,23,5.874834864,0.562902212,0.255427603,11.92069265,470.6210273,21,6.495520992,0.622373772,0.309310523,top_left_example_3,A,Sample_3A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_3A\top_left_example_3
0.001354716,65,172,177,1568.164074,1157559,80355.82244,794,784.0298802,55,20.4982127,1.307147195,0.372694776,9.881051253,773.3791005,72,30.07334768,1.917742422,0.417685384,top_left_example_4,A,Sample_3A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_3A\top_left_example_4
0.000471017,48,107,75,643.5627081,1366326,50013.2507,885,469.6684306,31,4.696981046,0.729840463,0.151515518,17.69531049,462.0883548,44,8.53200107,1.3257451,0.193909115,Top_middle_section_example_1,A,Sample_4A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_4A\Top_middle_section_example_1
0.000470621,72,86,96,769.3633608,1634783,43945.069,662,408.7626557,29,5.112827544,0.664553032,0.176304398,15.06426125,405.0118056,40,6.854125585,0.890882765,0.17135314,Top_middle_section_example_2,A,Sample_4A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_4A\Top_middle_section_example_2
0.000470621,72,86,96,769.3633608,1634783,43945.069,662,408.7626557,29,5.112827544,0.664553032,0.176304398,15.06426125,405.0118056,40,6.854125585,0.890882765,0.17135314,Top_middle_section_example_2 (2),A,Sample_4A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_4A\Top_middle_section_example_2 (2)
0.000470781,44,79,112,845.2189588,1795353,46702.61593,541,369.7305964,41,6.676623078,0.78992822,0.162844465,11.58393356,415.0089476,64,12.56515794,1.486615724,0.196330593,Top_right_section_example_2,A,Sample_4A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_4A\Top_right_section_example_2
0.001955329,70,171,138,814.7328419,416673,66482.28633,1311,618.7541169,25,4.399490474,0.539991792,0.175979619,19.71953843,638.8979173,41,12.83282488,1.575096059,0.312995729,col_1_row_1_side_A_cell_1,A,Sample_5A,Y:\redacted_user\2026\Global_PerSample\Sample_A\Sample_5A\col_1_row_1_side_A_cell_1
